gene_id	logFC	logCPM	LR	PValue	FDR	gene
ENSMUSG00000030058	-0.00202286073269908	8.34339187183261	-6.65548977737509	0.974846293834147	0.994973919166535	Copg
ENSMUSG00000013160	-0.444909716868404	8.96888779664269	-1.6383460272804	0.00199360344404089	0.0478419258491092	Atp6v0d1
ENSMUSG00000015341	0.14399878559494	10.7189091934212	-6.06989807608666	0.292102238659179	0.706072294054081	Golga7
ENSMUSG00000029446	-0.166180785992797	9.14511138912656	-6.4458472548947	0.528536425165648	0.854808281710481	Psph
ENSMUSG00000032112	-0.289819254315658	9.83815639509943	-5.10667675873312	0.086497903852759	0.424919122263683	Trappc4
ENSMUSG00000026810	0.0906806411032903	9.28024819857468	-6.40569791683921	0.4914762824058	0.838574349281395	Dpm2
ENSMUSG00000022193	-0.0704584187645416	11.5502338923432	-6.51839407114428	0.610302775483124	0.894132166609784	Psmb5
ENSMUSG00000002332	-0.273950484914799	6.96407872014805	-5.6601167678335	0.169501377233101	0.569288214833757	Dhrs1
ENSMUSG00000021096	-0.0701274464050847	8.8529184662589	-6.64057509885534	0.677260850069771	0.915197213617725	Ppm1a
ENSMUSG00000036835	0.109284128611785	10.8818560316217	-6.21481427822328	0.360795773092294	0.758281417615054	Psenen
ENSMUSG00000056412	0.109284128611785	10.8818560316217	-6.21481427822328	0.360795773092294	0.758281417615054	Psenen
ENSMUSG00000014355	0.075794751300021	7.55319044286088	-6.3418716022499	0.439212292904047	0.811775347803819	Anapc1
ENSMUSG00000025208	-0.0373161279469549	9.80624100929492	-6.61150788898043	0.772849156082447	0.944354268351522	Mrpl43
ENSMUSG00000022100	-0.235803509155381	9.12275741238317	-6.2236081004705	0.0846790341973143	0.421748187873626	Xpo7
ENSMUSG00000020936	0.000965273386520415	7.31103892827067	-6.65219213184424	0.876083866418539	0.973222084981826	Nmt1
ENSMUSG00000038160	-0.15695674860935	7.96785464635228	-6.65543340713853	0.104134961423816	0.460827380395633	Atg5
ENSMUSG00000020459	0.0765957380346158	8.79825914847422	-6.55290337633143	0.659321713549897	0.909262927960117	Mtif2
ENSMUSG00000026878	-0.11454922294746	8.33230520405369	-6.65546999922663	0.228100753426957	0.64152955002133	Rab14
ENSMUSG00000004207	-0.321145671357822	9.12811025275217	-6.57738726442263	0.23191182490918	0.646532726957378	Psap
ENSMUSG00000020794	-0.0766495233893973	9.94762606549873	-6.49917620417255	0.586306955765179	0.88170690089216	Ube2g1
ENSMUSG00000021327	0.326510609496457	7.91382875046575	-5.25262421215241	0.0788544531869562	0.408331888537535	Zkscan3
ENSMUSG00000071867	0.270866344062487	9.86796229254371	-5.37952252537373	0.119789871571427	0.489939174767592	Mrpl27
ENSMUSG00000024414	0.270866344062487	9.86796229254371	-5.37952252537373	0.119789871571427	0.489939174767592	Mrpl27
ENSMUSG00000022770	0.166893819686404	8.57695879609076	-6.0292277839324	0.0121883021910996	0.147936398502144	Dlg1
ENSMUSG00000020368	0.00635164885173574	9.70015892270962	-6.63728131802851	0.270966285106479	0.688121745746421	Canx
ENSMUSG00000022365	-0.0793755588074188	8.91666200169215	-6.47734365952595	0.0729044713088282	0.39454847642855	Derl1
ENSMUSG00000021266	0.617094422983923	7.88568309996601	-6.65548664435447	3.28986511101666e-05	0.00233380363517324	Wars
ENSMUSG00000030751	-0.181210672500798	11.0787997442214	-5.90528666513445	0.23305272350569	0.647615892297462	Psma1
ENSMUSG00000020088	0.0404397466314768	10.1317978988	-6.61650495553624	0.510016488464248	0.847055779860182	Sar1a
ENSMUSG00000029405	-0.0338063983528241	10.7446313366328	-6.47753399212905	0.423133972716774	0.801892483928659	G3bp2
ENSMUSG00000021556	-1.32591549989746	7.55395145628244	0.425845141543509	0.000235654940554006	0.0104588393477832	Golm1
ENSMUSG00000025156	-0.0190228450922518	10.4757108934481	-6.64548060083309	0.890477732418043	0.97623563595997	Gps1
ENSMUSG00000085783	-0.0190228450922518	10.4757108934481	-6.64548060083309	0.890477732418043	0.97623563595997	Gps1
ENSMUSG00000027828	0.117755178709515	10.5071976979033	-6.36345373197127	0.456949274475287	0.82191372840775	Ssr3
ENSMUSG00000037373	-0.0474778133877027	11.0357943560191	-6.57654970485973	0.698967939193971	0.923425744758714	Ctbp1
ENSMUSG00000025261	0.20622685808054	6.9753502321831	-6.58292059921173	0.131558533633807	0.51137839489868	Huwe1
ENSMUSG00000032803	-0.382241799417633	9.89176385117785	-5.07821541423633	0.0431381403277236	0.302745544987146	Cdv3
ENSMUSG00000044600	0.0245801708495446	7.24764244373479	-6.57754997163682	0.563915209952348	0.871180957811905	9130011J15Rik
ENSMUSG00000026965	-0.423120522097941	9.05443243434632	-2.5245634972659	0.00505620978393397	0.0866696269739147	Anapc2
ENSMUSG00000056579	0.273296521950913	8.12253658741002	-6.48834516710395	0.0902283205452345	0.431015412157542	Tug1
ENSMUSG00000025224	0.107840520795353	7.26502879559727	-6.65231983464318	0.234306298284404	0.64950015199682	Gbf1
ENSMUSG00000035505	0.168658636300581	8.67376277695017	-6.02480006919941	0.274235797119653	0.690669902454574	Cox18
ENSMUSG00000067851	-0.159144805265997	9.53135664781395	-6.14749531754686	0.32649255270253	0.733930967021728	Arfgef1
ENSMUSG00000030967	-0.0869767334692462	7.52186469656494	-6.65458248599537	0.0869445689407548	0.425191862722841	Zranb1
ENSMUSG00000041645	0.699879756798195	9.59404606352824	0.23207986871877	0.000287595831334968	0.011959479360588	Ddx24
ENSMUSG00000083077	-0.195643022883567	10.4312282725716	-5.65767920913934	0.168979420894015	0.568391533216789	Snrnp27
ENSMUSG00000001158	-0.124015678300669	10.5925741018224	-6.60617963926581	0.168979420894015	0.568391533216789	Snrnp27
ENSMUSG00000019295	-0.0164278688173169	6.953132342647	-6.65166220353806	0.93213862290316	0.983454061089985	Tmem129
ENSMUSG00000090733	0.0136976714367307	13.8789925629148	-6.64966722840453	0.916355466102184	0.979867479855693	Gm9846 /// Rps27
ENSMUSG00000050621	0.0136976714367307	13.8789925629148	-6.64966722840453	0.916355466102184	0.979867479855693	Gm9846 /// Rps27
ENSMUSG00000028677	0.107214788186329	8.92072340518234	-6.4779080655505	0.561885754132117	0.870415128385554	Rnf220
ENSMUSG00000020519	-0.0895970444256484	8.83314480174533	-6.44352345039543	0.526259775795835	0.85403587863663	Sap30l
ENSMUSG00000027599	-0.177008827511287	9.17457426157647	-6.14009882650715	0.0893000837767663	0.428991800307605	Armc1
ENSMUSG00000034509	-0.208800869151007	8.41080057143455	-5.24637952332524	0.102066603162808	0.456205586988583	Mad2l1bp
ENSMUSG00000005982	-0.0638275867284168	8.57018621921999	-6.5356375862398	0.633710929857788	0.900040107490004	Nat15
ENSMUSG00000019868	-0.0337515835625908	9.83592190225317	-6.62518669600874	0.810644916798812	0.955511331257437	Vta1
ENSMUSG00000021282	0.0634333887292562	11.5844720837392	-6.65136326605632	0.13823820008906	0.522542884873101	Eif5
ENSMUSG00000006699	-0.188736990793889	10.1381384460989	-6.42698144808656	0.154491304840461	0.547338618444096	Cdc42
ENSMUSG00000022682	0.450249401917311	9.04282501736994	-2.02523262934051	0.00298857575942405	0.0618806955948267	Rrn3
ENSMUSG00000055204	-0.167009949572694	8.20960145517998	-6.64754094382256	0.0144910858770205	0.163930954781678	Ankrd17
ENSMUSG00000028070	0.0506487710065686	7.7120125540497	-6.60454550303592	0.756060031325907	0.940339308048416	Apoa1bp
ENSMUSG00000022194	-0.1443113339881	10.8245122044933	-6.60191135149583	0.15439986956237	0.547338618444096	Pabpn1
ENSMUSG00000024122	-0.239087394749882	9.27930237737202	-5.75975383321979	0.138825761359788	0.523350688874835	Pdpk1
ENSMUSG00000034820	-0.0616462947278453	10.2167157772109	-6.53713074624736	0.63583344547105	0.900623891620304	Cpsf7
ENSMUSG00000026634	-0.134201725354906	7.12139014759071	-6.60698012007574	0.0841120183124584	0.420431663630097	Angel2
ENSMUSG00000007036	-0.0953397193953514	7.75355831768925	-6.65545365114281	0.218661762799561	0.631388846983662	Bat5
ENSMUSG00000078713	0.0823210019210912	11.8045264507259	-6.49972739966914	0.586967993450437	0.882039164011002	Tomm5
ENSMUSG00000079477	-0.0173829522236666	10.8400231468328	-6.64496816754275	0.88772734642117	0.975533746082883	Rab7
ENSMUSG00000024740	-0.0979488300851479	10.315550284173	-6.44526065011444	0.52796006547974	0.854600366818783	Ddb1
ENSMUSG00000001289	-0.140895246600714	10.9127005334991	-6.19145051303463	0.308637707063437	0.719766167583079	Pfdn5
ENSMUSG00000024712	0.141297601247912	8.81864977780702	-6.62514064048475	0.0982484732755947	0.448548863094535	Rfk
ENSMUSG00000028567	0.0464944943243513	8.57820414242006	-6.61405923330965	0.77936042234383	0.947104007661077	Txndc12
ENSMUSG00000036733	-0.154250132146494	7.25889048328773	-5.83576238538521	0.00371992799407225	0.0711393879959282	Rbm42
ENSMUSG00000094365	-0.282370973448818	8.04741075852304	-6.59465859926985	0.00371992799407225	0.0711393879959282	Rbm42
ENSMUSG00000020708	0.0783636166969917	11.1171523606317	-6.53151624481955	0.627935465299807	0.899962513673105	Psmc5
ENSMUSG00000029234	-0.236538551897251	10.2767066151629	-4.86357621906612	0.0651796553504736	0.373467946654584	Tmem165
ENSMUSG00000068328	-0.105385648668562	9.19927852016616	-6.59795256245488	0.741286484765219	0.935401418724199	Aup1
ENSMUSG00000008855	-0.472148759000831	7.22273712022958	-3.84031446061605	0.0207458424307812	0.205191332718579	Hdac5
ENSMUSG00000024309	-0.12866768212816	10.3264009402414	-6.38500056095545	0.474050427485755	0.828956601960849	H2-Ke2
ENSMUSG00000022898	0.0587097934870933	7.79626074925076	-6.58333782619698	0.711596871596531	0.926585086802925	Dscr3
ENSMUSG00000005442	0.209264212607099	8.13147731331845	-6.34119677727167	0.440283790001055	0.812107775304056	Cic
ENSMUSG00000024404	0.0161348960168291	9.42880011673586	-6.65272662815366	0.443064682886693	0.81374760423101	Riok3
ENSMUSG00000030868	0.25689976236875	9.20101860392758	-5.38985601122545	0.121300958449798	0.492760210007518	Dctn5
ENSMUSG00000028646	-0.112306466091272	9.48069282435913	-6.26447939535865	0.389351595130373	0.780822178872363	Rragc
ENSMUSG00000040688	0.0851225801214408	8.93720970946597	-6.55026380413738	0.655246269132608	0.908166962749985	Tbl3
ENSMUSG00000028759	-0.197190121830078	10.3763602054772	-5.78814001193815	0.199723907919968	0.608995806981795	Hp1bp3
ENSMUSG00000036299	-0.0863448997348826	10.1369269401002	-6.4961312053914	0.582682131350467	0.880568315402991	BC031181
ENSMUSG00000003346	-0.670572541319764	9.6827342979938	0.0660905654326358	0.000341158190204889	0.0135185154108933	Fam108a
ENSMUSG00000033020	0.0513760226952478	10.9150892277468	-6.57619983425353	0.698334194633737	0.923074468052635	Polr2f
ENSMUSG00000078923	-0.106343130969863	9.87075982431111	-6.39662750378855	0.483711918282541	0.833906638759999	Ube2v1
ENSMUSG00000089739	-0.106343130969863	9.87075982431111	-6.39662750378855	0.483711918282541	0.833906638759999	Ube2v1
ENSMUSG00000027694	-0.106343130969863	9.87075982431111	-6.39662750378855	0.483711918282541	0.833906638759999	Ube2v1
ENSMUSG00000072978	-0.106343130969863	9.87075982431111	-6.39662750378855	0.483711918282541	0.833906638759999	Ube2v1
ENSMUSG00000001018	-0.278676528176616	7.40426454051644	-6.43797083105136	0.0786099166687534	0.408164029436824	Snapin
ENSMUSG00000070733	-0.286704280754064	8.24606840177033	-5.76887509759324	0.0405031239539123	0.293777062792487	Fryl
