Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 63038.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 8.71 sec. (2864.40 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      306.3373     5                    306.3373    14023         
*     0+    0                          252.3277      306.3373    14023   21.40%
      0     0      294.3360    14      252.3277 UserPurge1: 78    14123   16.65%
      0     0      292.7591    25      252.3277 UserPurge1: 76    14182   16.02%
*     0+    0                          265.7167      292.7591    14182   10.18%
      0     0      291.6724    38      265.7167 UserPurge1: 73    14220    9.77%
      0     0      291.4168    28      265.7167 UserPurge1: 72    14258    9.67%
*     0+    0                          266.3622      291.4168    14258    9.41%
      0     0      291.3727    35      266.3622 UserPurge1: 73    14265    9.39%
      0     0      291.3459    20      266.3622 UserPurge1: 75    14277    9.38%
*     0+    0                          271.3652      291.3459    14277    7.36%
      0     0      291.3083    52      271.3652 UserPurge1: 69    14284    7.35%
      0     0      291.2765    23      271.3652 UserPurge1: 76    14292    7.34%
      0     0      291.2678    48      271.3652 UserPurge1: 72    14298    7.33%
      0     0      291.2175    48      271.3652 UserPurge1: 75    14311    7.32%
      0     0      291.1745    63      271.3652 UserPurge1: 78    14331    7.30%
      0     0      291.1300    20      271.3652 UserPurge1: 82    14349    7.28%
      0     0      291.1118    50      271.3652 UserPurge1: 69    14355    7.28%
      0     0      291.0131    26      271.3652 UserPurge1: 83    14369    7.24%
      0     0      290.9864    25      271.3652 UserPurge1: 75    14381    7.23%
      0     0      290.9817    47      271.3652 UserPurge1: 72    14385    7.23%
      0     0      290.9516    71      271.3652 UserPurge1: 79    14395    7.22%
      0     0      290.9197    26      271.3652 UserPurge1: 82    14409    7.21%
      0     0      290.9181    50      271.3652 UserPurge1: 73    14411    7.21%
      0     0      290.9017    56      271.3652 UserPurge1: 80    14418    7.20%
      0     0      290.8905    52      271.3652 UserPurge1: 80    14426    7.20%
      0     0      290.8869    64      271.3652 UserPurge1: 83    14434    7.19%
      0     0      290.8663    52      271.3652 UserPurge1: 83    14451    7.19%
